timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732623912013,56,2n Tech Nasil-57,200,OK,Thread Group 1-1,text,true,,1538,173,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/post-169.css?ver=1732474083,56,0,0
1732623912070,57,2n Tech Nasil-58,200,OK,Thread Group 1-1,text,true,,543,185,1,1,https://2nhaber.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.25.10,57,0,0
1732623912128,60,2n Tech Nasil-59,200,OK,Thread Group 1-1,text,true,,8189,206,1,1,https://2nhaber.com/wp-content/plugins/cmsmasters-elementor-addon/assets/lib/lazysizes/lazysizes.min.js?ver=5.3.0,60,0,0
1732623912188,58,2n Tech Nasil-60,200,OK,Thread Group 1-1,text,true,,5819,157,1,1,https://2nhaber.com/wp-includes/js/imagesloaded.min.js?ver=5.0.0,57,0,0
1732623912246,63,2n Tech Nasil-61,200,OK,Thread Group 1-1,text,true,,21470,179,1,1,https://2nhaber.com/wp-content/themes/the-reporter/assets/js/frontend.min.js?ver=1.0.0,59,0,0
1732623912309,62,2n Tech Nasil-62,200,OK,Thread Group 1-1,text,true,,18591,222,1,1,https://2nhaber.com/wp-content/plugins/cmsmasters-elementor-addon/assets/lib/perfect-scrollbar/perfect-scrollbar.min.js?ver=1.4.0,59,0,0
1732623912371,59,2n Tech Nasil-63,200,OK,Thread Group 1-1,text,true,,7641,202,1,1,https://2nhaber.com/wp-content/plugins/cmsmasters-elementor-addon/assets/js/webpack.runtime.min.js?ver=1.14.7,59,0,0
1732623912431,62,2n Tech Nasil-64,200,OK,Thread Group 1-1,text,true,,5551,186,1,1,https://2nhaber.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.25.10,62,0,0
1732623912493,113,2n Tech Nasil-65,200,OK,Thread Group 1-1,text,true,,55124,187,1,1,https://2nhaber.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.25.10,59,0,0
1732623912606,60,2n Tech Nasil-66,200,OK,Thread Group 1-1,text,true,,10615,210,1,1,https://2nhaber.com/wp-content/plugins/cmsmasters-elementor-addon/assets/lib/basicScroll/basicScroll.min.js?ver=3.0.3,60,0,0
1732623912667,59,2n Tech Nasil-67,200,OK,Thread Group 1-1,text,true,,11969,212,1,1,https://2nhaber.com/wp-content/plugins/cmsmasters-elementor-addon/assets/lib/vanilla-tilt/vanilla-tilt.min.js?ver=1.7.0,59,0,0
1732623912726,62,2n Tech Nasil-68,200,OK,Thread Group 1-1,text,true,,17785,198,1,1,https://2nhaber.com/wp-content/plugins/cmsmasters-elementor-addon/assets/lib/anime/anime.min.js?ver=3.2.1,59,0,0
1732623912789,63,2n Tech Nasil-69,200,OK,Thread Group 1-1,text,true,,11696,206,1,1,https://2nhaber.com/wp-content/plugins/cmsmasters-elementor-addon/assets/lib/hc-sticky/hc-sticky.min.js?ver=2.2.6,63,0,0
1732623912853,57,2n Tech Nasil-70,200,OK,Thread Group 1-1,text,true,,5467,205,1,1,https://2nhaber.com/wp-content/plugins/cmsmasters-elementor-addon/assets/lib/headroom/headroom.min.js?ver=0.12.0,57,0,0
1732623912911,60,2n Tech Nasil-71,200,OK,Thread Group 1-1,text,true,,6282,209,1,1,https://2nhaber.com/wp-content/plugins/cmsmasters-elementor-addon/assets/lib/donutty/jquery.donutty.min.js?ver=2.0.0,60,0,0
1732623912971,115,2n Tech Nasil-72,200,OK,Thread Group 1-1,text,true,,61667,195,1,1,https://2nhaber.com/wp-content/plugins/cmsmasters-elementor-addon/assets/js/frontend.min.js?ver=1.14.7,61,0,0
1732623913087,63,2n Tech Nasil-73,200,OK,Thread Group 1-1,text,true,,21764,160,1,1,https://2nhaber.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3,59,0,0
1732623913151,69,2n Tech Nasil-74,200,OK,Thread Group 1-1,text,true,,37048,166,1,1,https://2nhaber.com/wp-includes/js/jquery/ui/datepicker.min.js?ver=1.13.3,60,0,0
1732623913221,71,2n Tech Nasil-75,200,OK,Thread Group 1-1,text,true,,44427,179,1,1,https://2nhaber.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.25.10,60,0,0
1732623913301,541,2n Tech Is Dunyasi,200,OK,Thread Group 1-1,text,true,,262010,247,1,1,https://2nhaber.com/is-dunyasi/,203,0,0
1732623913301,203,2n Tech Is Dunyasi-0,301,Moved Permanently,Thread Group 1-1,text,true,,270,123,1,1,https://2nhaber.com/is-dunyasi,203,0,0
1732623913505,337,2n Tech Is Dunyasi-1,200,OK,Thread Group 1-1,text,true,,261740,124,1,1,https://2nhaber.com/is-dunyasi/,93,0,0
1732623913843,1673,2n Tech Yasam,200,OK,Thread Group 1-1,text,true,,255543,237,1,1,https://2nhaber.com/yasam/,163,0,0
1732623913843,163,2n Tech Yasam-0,301,Moved Permanently,Thread Group 1-1,text,true,,265,118,1,1,https://2nhaber.com/yasam,163,0,0
1732623914007,1509,2n Tech Yasam-1,200,OK,Thread Group 1-1,text,true,,255278,119,1,1,https://2nhaber.com/yasam/,1202,0,0
1732623915519,1025,2n Tech Search,200,OK,Thread Group 1-1,text,true,,185295,124,1,1,https://2nhaber.com/?s=istanbul,779,0,0
